round_order,round_id,round_name,round_short,round_part,round_status,user_id,user_name,user_icon,total_points_after_round,team_value,team_value_increment,league_position,lineup_type,lineup_points,lineup_position,lineup_date,lineup_date_iso,lineup_count,bonus_point,bonus_fixed,total_points_before_round
1,4484,Jornada 1,J1,,finished,8128710,Los vengadores,icons/11.png,58,138560000,-950000,1,4-3-3,58,1,1755276651,2025-08-15T16:50:51+00:00,True,200000,500000,0
1,4484,Jornada 1,J1,,finished,10089858,Karlox F.C.,icons/7.png,41,91370000,-770000,2,3-4-3,41,2,1755246528,2025-08-15T08:28:48+00:00,True,440000,500000,0
1,4484,Jornada 1,J1,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,92,102410000,-890000,3,4-4-2,36,4,1755157445,2025-08-14T07:44:05+00:00,True,720000,500000,56
1,4484,Jornada 1,J1,,finished,6822272,Ricardo J,,10,157450000,-1960000,4,3-5-2,10,7,1755241997,2025-08-15T07:13:17+00:00,True,1160000,500000,0
1,4484,Jornada 1,J1,,finished,6826480,Víctor Orta,i/u/6826480.png,22,87480000,-350000,5,4-3-3,22,5,1755273847,2025-08-15T16:04:07+00:00,True,720000,500000,0
1,4484,Jornada 1,J1,,finished,5684093,CD Cornisa Azul,icons/42.png,22,78730000,-540000,6,3-4-3,22,6,1755246244,2025-08-15T08:24:04+00:00,True,820000,500000,0
1,4484,Jornada 1,J1,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,36,78670000,-620000,7,5-3-2,36,3,1755235599,2025-08-15T05:26:39+00:00,True,440000,500000,0
2,4485,Jornada 2,J2,,finished,8128710,Los vengadores,icons/11.png,92,138560000,-950000,1,3-5-2,34,4,1755890647,2025-08-22T19:24:07+00:00,True,680000,500000,58
2,4485,Jornada 2,J2,,finished,10089858,Karlox F.C.,icons/7.png,78,91370000,-770000,2,3-4-3,37,3,1755839277,2025-08-22T05:07:57+00:00,True,660000,500000,41
2,4485,Jornada 2,J2,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,139,102410000,-890000,3,4-3-3,47,2,1755499922,2025-08-18T06:52:02+00:00,True,560000,500000,92
2,4485,Jornada 2,J2,,finished,6822272,Ricardo J,,43,157450000,-1960000,4,5-3-2,33,5,1755841817,2025-08-22T05:50:17+00:00,True,740000,500000,10
2,4485,Jornada 2,J2,,finished,6826480,Víctor Orta,i/u/6826480.png,46,87480000,-350000,5,4-3-3,24,7,1755273847,2025-08-15T16:04:07+00:00,True,1060000,500000,22
2,4485,Jornada 2,J2,,finished,5684093,CD Cornisa Azul,icons/42.png,75,78730000,-540000,6,4-4-2,53,1,1755842700,2025-08-22T06:05:00+00:00,True,480000,500000,22
