"jornada","jornada_id","id","name","points","jornada_points","teamValue","position","lineup.type","lineup.players_1","lineup.players_2","lineup.players_3","lineup.players_4","lineup.players_5","lineup.players_6","lineup.players_7","lineup.players_8","lineup.players_9","lineup.players_10","lineup.players_11"
1,4484,8128710,"Los vengadores",58,58,144970000,1,"4-3-3",23006,37458,38189,35426,8376,8670,30081,2597,30502,33516,32435
1,4484,10089858,"Karlox F.C.",41,41,87550000,2,"3-4-3",11,28115,33972,6828,951,16321,24474,19862,33938,2009,1927
1,4484,8127478,"Arregui",92,36,112290000,3,"4-4-2",9068,27996,38143,1780,10574,25322,31020,30210,1769,17937,26930
1,4484,6822272,"Ricardo J",10,10,152440000,4,"3-5-2",32134,19839,33839,31018,33691,2224,30307,31243,19547,18415,18178
1,4484,6826480,"Víctor Orta",22,22,70040000,5,"4-3-3",9090,38290,37741,38194,34221,34527,4245,21084,25394,15396,742
1,4484,5684093,"CD Cornisa Azul",22,22,74890000,6,"3-4-3",37894,28012,21063,33970,30123,34702,32629,19485,3159,2219,32042
1,4484,11678835,"Julia",36,36,80020000,7,"5-3-2",17021,18916,37460,19614,37399,33447,24732,12221,10158,11633,29631
2,4485,8128710,"Los vengadores",92,34,144970000,1,"3-5-2",257,38189,18173,35705,18174,8670,30081,24979,1612,33516,32435
2,4485,10089858,"Karlox F.C.",78,37,87550000,2,"3-4-3",11,33972,34488,12400,951,2368,24474,19862,23280,2009,33938
2,4485,8127478,"Arregui",139,47,112290000,3,"4-3-3",38405,27996,38143,1780,10574,1769,31020,30210,18382,17937,26930
2,4485,6822272,"Ricardo J",43,33,152440000,4,"5-3-2",11677,32440,38095,20702,31018,37499,26299,31243,2224,18415,34479
2,4485,6826480,"Víctor Orta",46,24,70040000,5,"4-3-3",9090,38290,37741,38194,34221,34527,4245,21084,25394,15396,742
2,4485,5684093,"CD Cornisa Azul",75,53,74890000,6,"4-4-2",37894,28012,28103,33970,755,17057,32120,19485,30123,2219,3159
2,4485,11678835,"Julia",64,28,80020000,7,"4-4-2",17021,26813,37460,19614,10245,11196,24732,12221,10158,11633,29631
3,4486,8128710,"Los vengadores",174,41,144970000,1,"3-4-3",257,12424,5678,35705,26048,27591,30081,1612,19297,27994,32435
