"","id","name","teamID","position","points","pointsHome","pointsAway","price","fantasyPrice"
"1",17731,"Catena",93,2,106,60,46,5690000,14000000
"2",37739,"De la Fuente",10,2,102,68,34,2620000,8000000
"3",16606,"Aitor Fernández",93,1,0,0,0,170000,8000000
"4",15462,"Gorosabel",1,2,34,16,18,280000,10000000
"5",2224,"Antonio Sánchez",465,3,41,26,15,320000,8000000
"6",24576,"Sørloth",2,4,83,76,7,6620000,32000000
"7",257,"Escandell",779,1,150,86,64,7340000,9000000
"8",30510,"Abde Rebbach",91,4,46,24,22,290000,8000000
"9",30505,"Abqar",8,2,28,24,4,400000,10000000
"10",25127,"Ez Abde",87,4,103,50,53,11990000,17000000
"11",18415,"Abdón Prats",465,4,8,4,4,150000,7000000
"12",28082,"Mumin",70,2,0,0,0,260000,10000000
"13",33792,"Abel Ruiz",289,4,4,2,2,170000,9000000
"14",38961,"Kamara",8,4,6,2,4,150000,11000000
"15",37709,"Boayar",75,4,15,2,13,150000,7000000
"16",32464,"Boiro",1,2,12,10,2,170000,7000000
"17",34034,"Adrián",87,1,0,0,0,230000,9000000
"18",38071,"Adrián Liso",8,4,71,30,41,680000,8000000
"19",17200,"Aihen",13,2,30,16,14,260000,9000000
"20",27591,"Aimar Oroz",93,3,74,42,32,3050000,22000000
"21",27996,"Paredes",1,2,53,24,29,860000,12000000
"22",19141,"Ruibal",87,3,92,56,36,3560000,11000000
"23",35778,"Akor Adams",17,4,98,49,49,4020000,8000000
"24",38142,"Matturro",10,2,25,25,0,580000,8000000
"25",32017,"Alberto Dadie",13,4,0,0,0,150000,7000000
"26",30495,"Moleiro",19,3,136,88,48,14060000,23000000
"27",38116,"Alberto Reina",779,3,81,46,35,1220000,7000000
"28",19860,"Febas",75,3,132,88,44,11120000,8000000
"29",10040,"Balde",3,2,90,46,44,5380000,20000000
"30",8517,"Álex Primo",10,1,0,0,0,150000,7000000
"31",37450,"Alemão",70,4,33,23,10,260000,8000000
"32",10157,"Aleñá",91,3,60,30,30,1160000,10000000
"33",5475,"Alessio Lisci",93,5,33,24,9,470000,8000000
"34",19547,"Baena",2,3,66,40,26,9340000,38000000
"35",897,"Berenguer",1,4,88,38,50,3180000,25000000
"36",37714,"Forés",779,4,34,18,16,160000,7000000
"37",39901,"Freeman",19,2,4,2,2,680000,10000000
"38",1908,"Álex Moreno",289,2,86,48,38,1760000,14000000
"39",34173,"Álex Padilla",1,1,-6,0,-6,150000,7000000
"40",7003,"Remiro",13,1,100,50,50,2720000,16000000
"41",38073,"Alex Sancris",8,4,25,15,10,220000,8000000
"42",37499,"Trent",15,2,24,18,6,4710000,33000000
"43",38964,"Alexis Sánchez",17,4,70,37,33,1140000,18000000
"44",19285,"Pacha Espino",70,2,49,30,19,530000,8000000
"45",23842,"Alfon González",19,4,19,2,17,420000,12000000
"46",2031,"Pedraza",19,2,63,26,37,1840000,9000000
"47",16992,"Nyom",8,3,10,6,4,190000,7000000
"48",39383,"Almada",779,5,7,5,2,180000,7000000
"49",37403,"Almeyda",17,5,29,15,14,440000,8000000
"50",39769,"Álvaro Arbeloa",15,5,15,9,6,4970000,20000000
"51",31707,"Álvaro Carreras",15,2,114,67,47,8460000,17000000
"52",39966,"Álvaro Fidalgo",87,3,18,6,12,4380000,11000000
"53",33,"Álvaro García",70,4,115,60,55,3610000,16000000
"54",37719,"Álvaro Núñez",5,2,66,52,14,1840000,8000000
"55",29908,"Álvaro Rodríguez",75,4,107,60,47,5360000,8000000
"56",30487,"Álvaro Valles",87,1,62,24,38,2630000,10000000
"57",17369,"Guevara",91,3,46,12,34,290000,9000000
"58",33921,"Ander Yoldi",93,4,0,0,0,150000,7000000
"59",27929,"André Almeida",18,3,22,8,14,720000,12000000
"60",16821,"André Silva",75,4,60,20,40,2000000,10000000
"61",26276,"Ratiu",70,2,100,58,42,4360000,16000000
"62",38072,"Andrés Castrín",17,2,38,22,16,240000,8000000
"63",15289,"Lunin",15,1,-6,-6,0,270000,13000000
"64",30334,"Fortuño",7,1,0,0,0,150000,7000000
"65",35765,"Angel Ortiz",87,2,22,16,6,220000,8000000
"66",39885,"Ángel Pérez",91,4,16,8,8,190000,7000000
"67",18398,"Budimir",93,4,128,87,41,13710000,33000000
"68",1612,"Antonio Blanco",91,3,96,56,40,3070000,12000000
"69",33705,"Antoniu Roca",7,4,10,2,8,180000,7000000
"70",35770,"Antony",87,4,80,35,45,14130000,37000000
"71",31027,"Arda Güler",15,3,118,56,62,14160000,25000000
"72",2016,"Elustondo",13,2,8,2,6,180000,9000000
"73",26095,"Arnau Martínez",289,2,85,47,38,3080000,13000000
"74",38527,"Arnau Tenas",19,1,14,2,12,300000,11000000
"75",24509,"Danjuma",18,4,83,46,37,2680000,10000000
"76",19508,"Arrasate",NA,5,24,19,5,400000,8000000
"77",31475,"Zakharyan",13,3,26,12,14,160000,9000000
"78",32134,"Batalla",70,1,98,52,46,2490000,15000000
