id,name,slug,teamID,position,price,fantasyPrice,number,status,priceIncrement,playedHome,playedAway,points,pointsHome,pointsAway,pointsLastSeason,fitness_json,iconHero,altPositions,statusInfo,statusChange
17731,Catena,a-catena,93,2,3260000,14000000,24,ok,-70000,19,16,143,83,60,111,"[2,2,2,2,2]",,,,
37739,De la Fuente,a-de-la-fuente,10,2,3480000,8000000,4,ok,0,18,15,151,96,55,,"[2,6,11,6,""doubt""]",,,,
16606,Aitor Fernández,a-fernandez,93,1,210000,8000000,13,ok,-10000,1,1,12,6,6,10,"[null,null,6,6,null]",,,,
15462,Gorosabel,a-gorosabel,1,2,310000,10000000,2,ok,-10000,12,12,62,38,24,76,"[2,6,2,6,2]",,,,
24576,Sørloth,a-sorloth,2,4,5600000,32000000,9,ok,-50000,18,17,123,105,18,188,"[2,2,9,-2,""injured""]",i/p/hero/24576.png,,,
30510,Abde Rebbach,abde-rebbach,91,4,1640000,8000000,21,ok,0,17,13,99,50,49,20,"[6,6,6,6,6]",,[3],,
30505,Abqar,abdel-abqar,8,2,290000,10000000,3,ok,0,12,11,40,36,4,102,"[2,2,""sanctioned"",2,2]",,,,
25127,Ez Abde,abdessamad-ezzalzouli,87,4,14770000,17000000,10,doubt,0,15,14,196,98,98,122,"[9,6,6,9,13]",i/p/hero/25127.png,[3],Esguince de rodilla.,1781164808
28082,Mumin,abdul-mumin,70,2,190000,10000000,16,ok,0,2,1,4,2,2,112,"[2,0,null,null,null]",,,,
38961,Kamara,abu-kamara,8,4,150000,11000000,11,ok,0,8,4,10,6,4,,"[null,null,null,null,2]",,,,
37709,Boayar,adam-boayar,75,4,150000,7000000,32,ok,0,3,4,15,2,13,,"[null,""injured"",""injured"",""doubt"",""doubt""]",,[3],,
32464,Boiro,adama-boiro,1,2,150000,7000000,19,ok,0,7,7,24,14,10,48,"[2,null,2,null,2]",,,,
34034,Adrián,adrian,87,1,190000,9000000,13,ok,-10000,1,0,10,10,0,54,"[10,null,null,null,null]",,,,
38071,Adrián Liso,adrian-liso,8,4,300000,8000000,23,ok,0,14,14,86,36,50,,"[2,null,null,null,-2]",i/p/hero/38071.png,[3],,
17200,Aihen,aihen-munoz,13,2,210000,9000000,3,ok,0,10,11,49,31,18,50,"[2,11,null,null,null]",,,,
27591,Aimar Oroz,aimar-oroz,93,3,2360000,22000000,10,ok,-40000,16,15,110,68,42,201,"[2,2,2,2,2]",i/p/hero/27591.png,[4],,
27996,Paredes,aitor-paredes,1,2,320000,12000000,4,ok,-10000,8,11,66,24,42,82,"[2,null,null,null,null]",,,,
19141,Ruibal,aitor-ruibal,87,3,1370000,11000000,24,injured,-20000,13,14,107,66,41,90,"[""injured"",""injured"",null,-1,null]",i/p/hero/19141.png,"[2, 4]",Operación en el menisco externo de su rodilla derecha. Retorno estimado: Vuelta indefinida.,1778760048
35778,Akor Adams,akor-adams,17,4,2720000,8000000,9,ok,0,15,17,154,76,78,4,"[2,2,13,9,null]",,,,
38142,Matturro,alan-matturro,10,2,260000,8000000,3,ok,0,10,9,37,35,2,,"[null,null,null,6,-2]",,,,
32017,Alberto Dadie,alberto-dadie,13,4,150000,7000000,38,ok,0,0,0,0,0,0,,"[null,null,null,null,null]",,,,
30495,Moleiro,alberto-moleiro,19,3,9800000,23000000,20,ok,-150000,19,18,184,124,60,170,"[6,2,2,2,14]",i/p/hero/30495.png,[4],,
19860,Febas,aleix-febas,5,3,10450000,8000000,14,ok,0,17,19,196,118,78,,"[6,null,6,2,6]",,,,
10040,Balde,alejandro-balde,3,2,2540000,20000000,3,ok,10000,13,15,98,56,42,124,"[-2,6,-2,0,null]",i/p/hero/10040.png,,,
8517,Álex Primo,alejandro-primo,10,1,150000,7000000,32,ok,0,0,0,0,0,0,,"[""doubt"",""injured"",""injured"",""injured"",""injured""]",,,,
37450,Alemão,alemao,70,4,1940000,8000000,9,ok,0,14,12,76,56,20,,"[2,9,2,9,6]",,,,
10157,Aleñá,alena,91,3,420000,10000000,10,ok,-10000,17,17,72,38,34,58,"[null,null,null,""sanctioned"",2]",,[4],,
