date,date_iso,round_id,round_name,score_id,user_id,user_name,points,bonus,reason_bonusPoint,reason_bonusFixed,reason_json,reason_bonusRoundPosition
1779721808,2026-05-25T15:10:08+00:00,4521,Jornada 38,1,6822272,Ricardo J,55,1160000,660000,500000,"{""bonusPoint"":660000,""bonusFixed"":500000}",
1779721808,2026-05-25T15:10:08+00:00,4521,Jornada 38,1,8127478,Arregui,53,1410000,660000,500000,"{""bonusPoint"":660000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1779721808,2026-05-25T15:10:08+00:00,4521,Jornada 38,1,5684093,CD Cornisa Azul,51,1880000,880000,500000,"{""bonusPoint"":880000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1779721808,2026-05-25T15:10:08+00:00,4521,Jornada 38,1,11678835,Julia,49,2230000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1779721808,2026-05-25T15:10:08+00:00,4521,Jornada 38,1,6826480,Víctor Orta,44,2520000,1020000,500000,"{""bonusPoint"":1020000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1779721808,2026-05-25T15:10:08+00:00,4521,Jornada 38,1,8128710,Los vengadores,33,2810000,1060000,500000,"{""bonusPoint"":1060000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1779721808,2026-05-25T15:10:08+00:00,4521,Jornada 38,1,10089858,Karlox F.C.,33,3100000,1100000,500000,"{""bonusPoint"":1100000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1779116731,2026-05-18T15:05:31+00:00,4520,Jornada 37,1,6826480,Víctor Orta,68,900000,400000,500000,"{""bonusPoint"":400000,""bonusFixed"":500000}",
1779116731,2026-05-18T15:05:31+00:00,4520,Jornada 37,1,6822272,Ricardo J,57,1450000,700000,500000,"{""bonusPoint"":700000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1779116731,2026-05-18T15:05:31+00:00,4520,Jornada 37,1,8128710,Los vengadores,49,1860000,860000,500000,"{""bonusPoint"":860000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
