round_order,round_id,round_name,round_short,round_part,round_status
1,4484,Jornada 1,J1,,finished
2,4485,Jornada 2,J2,,finished
3,4489,Jornada 6,J6,,finished
4,4486,Jornada 3,J3,,finished
5,4487,Jornada 4,J4,,finished
6,4488,Jornada 5,J5,,finished
7,4710,Jornada 6 (aplazada),J6,2,finished
8,4490,Jornada 7,J7,,finished
9,4491,Jornada 8,J8,,finished
10,4492,Jornada 9,J9,,finished
11,4493,Jornada 10,J10,,finished
12,4494,Jornada 11,J11,,finished
13,4495,Jornada 12,J12,,finished
14,4496,Jornada 13,J13,,finished
15,4497,Jornada 14,J14,,finished
16,4502,Jornada 19,J19,,finished
17,4498,Jornada 15,J15,,finished
18,4499,Jornada 16,J16,,finished
19,4500,Jornada 17,J17,,finished
20,4501,Jornada 18,J18,,finished
21,4787,Jornada 19 (aplazada),J19,2,finished
22,4503,Jornada 20,J20,,finished
23,4504,Jornada 21,J21,,finished
24,4505,Jornada 22,J22,,finished
25,4506,Jornada 23,J23,,finished
26,4507,Jornada 24,J24,,finished
27,4801,Jornada 16 (aplazada),J16,2,finished
28,4508,Jornada 25,J25,,finished
29,4509,Jornada 26,J26,,finished
30,4832,Jornada 23 (aplazada),J23,2,finished
31,4510,Jornada 27,J27,,finished
32,4511,Jornada 28,J28,,finished
33,4512,Jornada 29,J29,,finished
34,4513,Jornada 30,J30,,finished
35,4514,Jornada 31,J31,,finished
36,4516,Jornada 33,J33,,finished
37,4515,Jornada 32,J32,,finished
38,4517,Jornada 34,J34,,finished
39,4518,Jornada 35,J35,,finished
40,4519,Jornada 36,J36,,finished
41,4520,Jornada 37,J37,,finished
42,4521,Jornada 38,J38,,finished
